api_route,file_path_server,frontend_files_that_call_it
/api/address/autocomplete,app/api/address/autocomplete/route.ts,
/api/address/details,app/api/address/details/route.ts,
/api/address/reverse,app/api/address/reverse/route.ts,
/api/admin/config/platform-email,app/api/admin/config/platform-email/route.ts,app/admin/config/platform-email/page.tsx; app/admin/organizacoes/page.tsx; app/admin/settings/page.tsx
/api/admin/data/purge,app/api/admin/data/purge/route.ts,app/admin/components/AdminDataPurgeTools.tsx
/api/admin/eventos/list,app/api/admin/eventos/list/route.ts,app/admin/eventos/page.tsx
/api/admin/eventos/purge,app/api/admin/eventos/purge/route.ts,app/admin/eventos/page.tsx
/api/admin/eventos/update-status,app/api/admin/eventos/update-status/route.ts,
/api/admin/fees,app/api/admin/fees/route.ts,app/admin/settings/page.tsx
/api/admin/infra/alerts/status,app/api/admin/infra/alerts/status/route.ts,app/admin/infra/InfraClient.tsx
/api/admin/infra/cost/summary,app/api/admin/infra/cost/summary/route.ts,app/admin/infra/InfraClient.tsx
/api/admin/infra/deploy,app/api/admin/infra/deploy/route.ts,app/admin/infra/InfraClient.tsx
/api/admin/infra/hard-pause,app/api/admin/infra/hard-pause/route.ts,app/admin/infra/InfraClient.tsx
/api/admin/infra/migrate,app/api/admin/infra/migrate/route.ts,app/admin/infra/InfraClient.tsx
/api/admin/infra/resume,app/api/admin/infra/resume/route.ts,app/admin/infra/InfraClient.tsx
/api/admin/infra/rotate-secrets,app/api/admin/infra/rotate-secrets/route.ts,app/admin/infra/InfraClient.tsx
/api/admin/infra/soft-pause,app/api/admin/infra/soft-pause/route.ts,app/admin/infra/InfraClient.tsx
/api/admin/infra/start,app/api/admin/infra/start/route.ts,app/admin/infra/InfraClient.tsx
/api/admin/infra/status,app/api/admin/infra/status/route.ts,app/admin/infra/InfraClient.tsx
/api/admin/infra/usage/summary,app/api/admin/infra/usage/summary/route.ts,app/admin/infra/InfraClient.tsx
/api/admin/mfa/enroll,app/api/admin/mfa/enroll/route.ts,app/admin/infra/InfraClient.tsx
/api/admin/mfa/reset,app/api/admin/mfa/reset/route.ts,app/admin/infra/InfraClient.tsx
/api/admin/mfa/session,app/api/admin/mfa/session/route.ts,app/admin/components/AdminLayout.tsx
/api/admin/mfa/status,app/api/admin/mfa/status/route.ts,app/admin/infra/InfraClient.tsx
/api/admin/mfa/verify,app/api/admin/mfa/verify/route.ts,app/admin/infra/InfraClient.tsx
/api/admin/ops/analytics-rollups,app/api/admin/ops/analytics-rollups/route.ts,app/admin/organizacoes/page.tsx
/api/admin/organizacoes/event-log,app/api/admin/organizacoes/event-log/route.ts,app/admin/organizacoes/page.tsx
/api/admin/organizacoes/list,app/api/admin/organizacoes/list/route.ts,app/admin/organizacoes/page.tsx
/api/admin/organizacoes/refresh-payments-status,app/api/admin/organizacoes/refresh-payments-status/route.ts,app/admin/organizacoes/page.tsx
/api/admin/organizacoes/update-payments-mode,app/api/admin/organizacoes/update-payments-mode/route.ts,
/api/admin/organizacoes/update-status,app/api/admin/organizacoes/update-status/route.ts,app/admin/organizacoes/page.tsx
/api/admin/organizacoes/verify-platform-email,app/api/admin/organizacoes/verify-platform-email/route.ts,app/admin/organizacoes/page.tsx
/api/admin/payments/dispute,app/api/admin/payments/dispute/route.ts,app/admin/finance/page.tsx
