api_route,api_file,api_type,ui_status,ui_file_count,ui_files
/api/admin/config/platform-email,app/api/admin/config/platform-email/route.ts,public,covered,2,app/admin/config/platform-email/page.tsx; app/admin/organizacoes/page.tsx
/api/admin/data/purge,app/api/admin/data/purge/route.ts,public,covered,1,app/admin/components/AdminDataPurgeTools.tsx
/api/admin/eventos/list,app/api/admin/eventos/list/route.ts,public,covered,1,app/admin/eventos/page.tsx
/api/admin/eventos/purge,app/api/admin/eventos/purge/route.ts,public,covered,1,app/admin/eventos/page.tsx
/api/admin/eventos/update-status,app/api/admin/eventos/update-status/route.ts,public,orphan,0,
/api/admin/fees,app/api/admin/fees/route.ts,public,covered,1,app/admin/settings/page.tsx
/api/admin/ops/analytics-rollups,app/api/admin/ops/analytics-rollups/route.ts,public,covered,1,app/admin/organizacoes/page.tsx
/api/admin/organizacoes/event-log,app/api/admin/organizacoes/event-log/route.ts,public,covered,1,app/admin/organizacoes/page.tsx
/api/admin/organizacoes/list,app/api/admin/organizacoes/list/route.ts,public,covered,1,app/admin/organizacoes/page.tsx
/api/admin/organizacoes/refresh-payments-status,app/api/admin/organizacoes/refresh-payments-status/route.ts,public,covered,1,app/admin/organizacoes/page.tsx
/api/admin/organizacoes/update-payments-mode,app/api/admin/organizacoes/update-payments-mode/route.ts,public,orphan,0,
/api/admin/organizacoes/update-status,app/api/admin/organizacoes/update-status/route.ts,public,covered,1,app/admin/organizacoes/page.tsx
/api/admin/organizacoes/verify-platform-email,app/api/admin/organizacoes/verify-platform-email/route.ts,public,covered,1,app/admin/organizacoes/page.tsx
/api/admin/payments/dispute,app/api/admin/payments/dispute/route.ts,public,covered,1,app/admin/finance/page.tsx
/api/admin/payments/export,app/api/admin/payments/export/route.ts,public,covered,1,app/admin/components/AdminTopActions.tsx
/api/admin/payments/list,app/api/admin/payments/list/route.ts,public,covered,1,app/admin/finance/page.tsx
/api/admin/payments/overview,app/api/admin/payments/overview/route.ts,public,covered,1,app/admin/finance/page.tsx
/api/admin/payments/refund,app/api/admin/payments/refund/route.ts,public,covered,2,app/admin/finance/page.tsx; app/admin/tickets/page.tsx
/api/admin/payments/reprocess,app/api/admin/payments/reprocess/route.ts,public,covered,2,app/admin/components/PaymentTools.tsx; app/admin/finance/page.tsx
/api/admin/payouts/[id],app/api/admin/payouts/[id]/route.ts,public,covered,1,app/admin/finance/page.tsx
/api/admin/payouts/[id]/block,app/api/admin/payouts/[id]/block/route.ts,public,covered,1,app/admin/finance/page.tsx
/api/admin/payouts/[id]/cancel,app/api/admin/payouts/[id]/cancel/route.ts,public,covered,1,app/admin/finance/page.tsx
/api/admin/payouts/[id]/force-release,app/api/admin/payouts/[id]/force-release/route.ts,public,covered,1,app/admin/finance/page.tsx
/api/admin/payouts/[id]/unblock,app/api/admin/payouts/[id]/unblock/route.ts,public,covered,1,app/admin/finance/page.tsx
/api/admin/payouts/list,app/api/admin/payouts/list/route.ts,public,covered,1,app/admin/finance/page.tsx
/api/admin/refunds/list,app/api/admin/refunds/list/route.ts,public,covered,1,app/admin/finance/page.tsx
/api/admin/refunds/retry,app/api/admin/refunds/retry/route.ts,public,covered,1,app/admin/finance/page.tsx
/api/admin/tickets/export,app/api/admin/tickets/export/route.ts,public,covered,1,app/admin/components/AdminTopActions.tsx
/api/admin/tickets/list,app/api/admin/tickets/list/route.ts,public,covered,1,app/admin/tickets/page.tsx
/api/admin/users/purge-pending,app/api/admin/users/purge-pending/route.ts,public,orphan,0,
/api/admin/utilizadores/list,app/api/admin/utilizadores/list/route.ts,public,orphan,0,
/api/admin/utilizadores/manage,app/api/admin/utilizadores/manage/route.ts,public,covered,1,app/admin/utilizadores/UsersTableClient.tsx
/api/auth/apple/link,app/api/auth/apple/link/route.ts,public,covered,1,app/auth/callback/page.tsx
/api/auth/check-email,app/api/auth/check-email/route.ts,public,orphan,0,
/api/auth/clear,app/api/auth/clear/route.ts,public,orphan,0,
/api/auth/login,app/api/auth/login/route.ts,public,covered,2,app/components/autenticação/AuthModal.tsx; app/components/checkout/AuthWall.tsx
/api/auth/logout,app/api/auth/logout/route.ts,public,covered,4,app/admin/components/AdminLayout.tsx; app/components/Navbar.tsx; app/me/settings/page.tsx; app/organizacao/OrganizationTopBar.tsx
/api/auth/me,app/api/auth/me/route.ts,public,covered,2,app/components/autenticação/AuthModal.tsx; app/hooks/useUser.ts
/api/auth/password/reset-request,app/api/auth/password/reset-request/route.ts,public,covered,1,app/components/autenticação/AuthModal.tsx
/api/auth/refresh,app/api/auth/refresh/route.ts,public,covered,2,app/components/autenticação/AuthModal.tsx; app/components/checkout/AuthWall.tsx
/api/auth/resend-otp,app/api/auth/resend-otp/route.ts,public,covered,2,app/components/autenticação/AuthModal.tsx; app/components/checkout/AuthWall.tsx
/api/auth/send-otp,app/api/auth/send-otp/route.ts,public,covered,2,app/components/autenticação/AuthModal.tsx; app/components/checkout/AuthWall.tsx
/api/chat/attachments/presign,app/api/chat/attachments/presign/route.ts,public,covered,2,app/organizacao/(dashboard)/chat/ChatInternoV2Client.tsx; app/organizacao/(dashboard)/chat/preview/useChatPreviewData.ts
/api/chat/blocks,app/api/chat/blocks/route.ts,public,covered,1,app/organizacao/(dashboard)/chat/preview/useChatPreviewData.ts
