model,field,db_schema,db_table,db_column,type,nullable,is_list,is_relation,default,attributes
Profile,id,app_v3,profiles,id,String,false,false,false,,@id @db.Uuid
Profile,env,app_v3,profiles,env,String,false,false,false,"""prod""","@default(""prod"")"
Profile,username,app_v3,profiles,username,String,true,false,false,,@unique @db.Citext
Profile,fullName,app_v3,profiles,full_name,String,true,false,false,,"@map(""full_name"")"
Profile,avatarUrl,app_v3,profiles,avatar_url,String,true,false,false,,"@map(""avatar_url"")"
Profile,coverUrl,app_v3,profiles,cover_url,String,true,false,false,,"@map(""cover_url"")"
Profile,bio,app_v3,profiles,bio,String,true,false,false,,
Profile,city,app_v3,profiles,city,String,true,false,false,,
Profile,gender,app_v3,profiles,,Gender,true,false,true,,
Profile,padelLevel,app_v3,profiles,padel_level,String,true,false,false,,"@map(""padel_level"")"
Profile,padelPreferredSide,app_v3,profiles,padel_preferred_side,PadelPreferredSide,true,false,true,,"@map(""padel_preferred_side"")"
Profile,padelClubName,app_v3,profiles,padel_club_name,String,true,false,false,,"@map(""padel_club_name"")"
Profile,favouriteCategories,app_v3,profiles,favourite_categories,String,false,true,false,[],"@default([]) @map(""favourite_categories"")"
Profile,onboardingDone,app_v3,profiles,onboarding_done,Boolean,false,false,false,false,"@default(false) @map(""onboarding_done"")"
Profile,roles,app_v3,profiles,roles,String,false,true,false,"[""user""]","@default([""user""])"
Profile,activeOrganizationId,app_v3,profiles,active_organization_id,Int,true,false,false,,"@map(""active_organization_id"")"
Profile,createdAt,app_v3,profiles,created_at,DateTime,false,false,false,now(,"@default(now()) @map(""created_at"")"
Profile,updatedAt,app_v3,profiles,updated_at,DateTime,false,false,false,now(,"@default(now()) @updatedAt @map(""updated_at"")"
Profile,deletedAt,app_v3,profiles,deleted_at,DateTime,true,false,false,,"@map(""deleted_at"") @db.Timestamp(6)"
Profile,isDeleted,app_v3,profiles,is_deleted,Boolean,false,false,false,false,"@default(false) @map(""is_deleted"")"
Profile,visibility,app_v3,profiles,,Visibility,false,false,true,PUBLIC,@default(PUBLIC)
Profile,is_verified,app_v3,profiles,is_verified,Boolean,false,false,false,false,@default(false)
Profile,contactPhone,app_v3,profiles,contact_phone,String,true,false,false,,"@map(""contact_phone"")"
Profile,status,app_v3,profiles,,AccountStatus,true,false,true,ACTIVE,@default(ACTIVE)
