model,field,db_table,db_column,is_relation,ambiguous_field,ambiguous_column,code_refs,read_refs,write_refs,sql_refs,files_sample
Profile,id,profiles,id,false,true,true,0,0,0,532,app/[username]/page.tsx;app/admin/tickets/page.tsx;app/admin/utilizadores/UsersTableClient.tsx;app/api/admin/organizacoes/list/route.ts;app/api/admin/organizacoes/update-status/route.ts
Profile,env,profiles,env,false,true,true,871,14,16,500,app/admin/infra/InfraClient.tsx;app/admin/infra/page.tsx;app/api/admin/infra/_helpers.ts;app/api/admin/infra/cost/summary/route.ts;app/api/admin/infra/deploy/route.ts
Profile,username,profiles,username,false,true,true,1651,288,16,37,app/[username]/_components/ReservasBookingClient.tsx;app/[username]/_components/ReservasBookingSection.tsx;app/[username]/loja/carrinho/page.tsx;app/[username]/loja/checkout/page.tsx;app/[username]/loja/descargas/page.tsx
Profile,fullName,profiles,full_name,false,true,true,830,203,23,13,app/[username]/loja/carrinho/page.tsx;app/[username]/loja/checkout/page.tsx;app/[username]/loja/descargas/page.tsx;app/[username]/loja/page.tsx;app/[username]/loja/produto/[slug]/page.tsx
Profile,avatarUrl,profiles,avatar_url,false,false,false,451,85,3,7,app/[username]/_components/ReservasBookingClient.tsx;app/[username]/_components/ReservasBookingSection.tsx;app/[username]/loja/descargas/page.tsx;app/[username]/loja/page.tsx;app/[username]/padel/page.tsx
Profile,coverUrl,profiles,cover_url,false,false,false,171,1,0,5,app/[username]/_components/ReservasBookingClient.tsx;app/[username]/_components/ReservasBookingSection.tsx;app/[username]/padel/page.tsx;app/[username]/page.tsx;app/api/auth/me/route.ts
Profile,bio,profiles,bio,false,true,true,139,1,0,3,app/[username]/padel/page.tsx;app/[username]/page.tsx;app/[username]/treinadores/[trainer]/page.tsx;app/api/admin/users/purge-pending/route.ts;app/api/auth/me/route.ts
Profile,city,profiles,city,false,true,true,634,11,3,16,app/[username]/_components/ReservasBookingClient.tsx;app/[username]/_components/ReservasBookingSection.tsx;app/[username]/padel/page.tsx;app/[username]/page.tsx;app/admin/utilizadores/UsersTableClient.tsx
Profile,gender,profiles,,true,true,false,177,18,0,0,app/[username]/padel/page.tsx;app/[username]/page.tsx;app/api/padel/onboarding/route.ts;app/api/padel/pairings/[id]/accept/route.ts;app/api/padel/pairings/[id]/checkout/route.ts
Profile,padelLevel,profiles,padel_level,false,false,false,84,4,0,5,app/[username]/padel/page.tsx;app/[username]/page.tsx;app/api/me/route.ts;app/api/padel/onboarding/route.ts;app/api/padel/pairings/[id]/accept/route.ts
Profile,padelPreferredSide,profiles,padel_preferred_side,true,false,false,41,1,0,0,app/[username]/padel/page.tsx;app/[username]/page.tsx;app/api/padel/onboarding/route.ts;app/api/padel/pairings/[id]/accept/route.ts;app/api/padel/pairings/[id]/checkout/route.ts
Profile,padelClubName,profiles,padel_club_name,false,false,false,27,0,0,0,app/[username]/padel/page.tsx;app/[username]/page.tsx;app/api/organizacao/events/list/route.ts;app/api/padel/onboarding/route.ts;app/api/padel/pairings/my/route.ts
Profile,favouriteCategories,profiles,favourite_categories,false,false,false,74,0,0,5,app/[username]/page.tsx;app/api/auth/me/route.ts;app/api/me/route.ts;app/api/me/settings/email/route.ts;app/api/me/settings/save/route.ts
Profile,onboardingDone,profiles,onboarding_done,false,false,false,100,23,1,6,app/api/auth/me/route.ts;app/api/me/route.ts;app/api/me/settings/email/route.ts;app/api/me/settings/save/route.ts;app/api/organizacao/checkin/preview/route.ts
Profile,roles,profiles,roles,false,false,false,365,49,8,183,app/admin/organizacoes/actions.ts;app/admin/utilizadores/UsersTableClient.tsx;app/admin/utilizadores/page.tsx;app/api/admin/ops/analytics-rollups/route.ts;app/api/admin/organizacoes/update-status/route.ts
Profile,activeOrganizationId,profiles,active_organization_id,false,false,false,29,6,1,0,app/organizacao/(dashboard)/analyze/page.tsx;app/organizacao/(dashboard)/eventos/novo/page.tsx;app/organizacao/(dashboard)/manage/page.tsx;app/organizacao/(dashboard)/overview/page.tsx;app/organizacao/(dashboard)/page.tsx
Profile,createdAt,profiles,created_at,false,true,true,0,0,0,32,app/api/admin/payments/export/route.ts;app/api/admin/payouts/[id]/route.ts;app/api/chat/conversations/route.ts;app/api/chat/search/route.ts;app/api/cron/loyalty/expire/route.ts
Profile,updatedAt,profiles,updated_at,false,true,true,0,0,0,18,app/api/admin/payments/export/route.ts;app/api/cron/chat/maintenance/route.ts;app/api/internal/chat/backfill/route.ts;lib/crm/rebuild.ts;lib/cron/lock.ts
Profile,deletedAt,profiles,deleted_at,false,true,true,83,35,9,3,app/admin/utilizadores/UsersTableClient.tsx;app/admin/utilizadores/page.tsx;app/api/admin/utilizadores/manage/route.ts;app/api/chat/conversations/[conversationId]/messages/route.ts;app/api/chat/conversations/[conversationId]/threads/[messageId]/route.ts
Profile,isDeleted,profiles,is_deleted,false,true,true,130,70,4,4,app/[username]/page.tsx;app/admin/utilizadores/UsersTableClient.tsx;app/admin/utilizadores/page.tsx;app/api/admin/users/purge-pending/route.ts;app/api/admin/utilizadores/manage/route.ts
