direction,schema,model_or_table,mapped_name,status,db_columns,prisma_fields,notes
model_to_table,app_v3,Profile,profiles,present,30,121,
model_to_table,app_v3,UserIdentity,user_identities,present,7,8,
model_to_table,app_v3,PushDeviceToken,push_device_tokens,present,7,8,
model_to_table,app_v3,Organization,organizations,present,51,144,
model_to_table,app_v3,OrganizationSettings,organization_settings,present,13,14,
model_to_table,app_v3,OrganizationGroup,organization_groups,present,5,10,
model_to_table,app_v3,OrganizationGroupMember,organization_group_members,present,10,13,
model_to_table,app_v3,OrganizationGroupMemberOrganizationOverride,organization_member_overrides,present,8,10,
model_to_table,app_v3,AdminMfa,admin_mfa,present,10,11,
model_to_table,app_v3,Store,stores,present,11,18,
model_to_table,app_v3,StoreCategory,store_categories,present,11,13,
model_to_table,app_v3,StoreProduct,store_products,present,19,30,
model_to_table,app_v3,StoreProductVariant,store_product_variants,present,11,17,
model_to_table,app_v3,StoreProductImage,store_product_images,present,8,9,
model_to_table,app_v3,StoreProductOption,store_product_options,present,13,15,
model_to_table,app_v3,StoreProductOptionValue,store_product_option_values,present,8,9,
model_to_table,app_v3,StoreDigitalAsset,store_digital_assets,present,10,11,
model_to_table,app_v3,StoreDigitalGrant,store_digital_grants,present,8,10,
model_to_table,app_v3,StoreBundle,store_bundles,present,12,16,
model_to_table,app_v3,StoreBundleItem,store_bundle_items,present,6,9,
model_to_table,app_v3,StoreCart,store_carts,present,9,12,
model_to_table,app_v3,StoreCartItem,store_cart_items,present,12,16,
model_to_table,app_v3,StoreOrder,store_orders,present,24,32,
model_to_table,app_v3,StoreOrderLine,store_order_lines,present,15,21,
model_to_table,app_v3,StoreOrderBundle,store_order_bundles,present,11,15,
model_to_table,app_v3,StoreOrderBundleItem,store_order_bundle_items,present,9,12,
model_to_table,app_v3,StoreOrderAddress,store_order_addresses,present,8,10,
model_to_table,app_v3,StoreShipment,store_shipments,present,11,12,
model_to_table,app_v3,StoreShippingZone,store_shipping_zones,present,8,11,
model_to_table,app_v3,StoreShippingMethod,store_shipping_methods,present,13,16,
model_to_table,app_v3,StoreShippingTier,store_shipping_tiers,present,7,8,
model_to_table,app_v3,StoreInventoryMovement,store_inventory_movements,present,8,10,
model_to_table,app_v3,OrganizationForm,organization_forms,present,12,15,
model_to_table,app_v3,OrganizationFormField,organization_form_fields,present,12,13,
model_to_table,app_v3,OrganizationFormSubmission,organization_form_submissions,present,9,11,
model_to_table,app_v3,OrganizationModuleEntry,organization_modules,present,4,5,
model_to_table,app_v3,OrganizationOfficialEmailRequest,organization_official_email_requests,present,11,12,
model_to_table,app_v3,OrganizationStepUpChallenge,organization_step_up_challenges,present,14,15,
model_to_table,app_v3,GlobalUsername,global_usernames,present,6,6,
model_to_table,app_v3,Notification,notifications,present,20,27,
model_to_table,app_v3,Lock,locks,present,3,3,
model_to_table,app_v3,NotificationPreference,notification_preferences,present,14,15,
model_to_table,app_v3,NotificationMute,notification_mutes,present,6,9,
