table,column,model,field,runtime_signal,scripts_signal,tests_signal,db_runtime_refs,db_scripts_refs,db_tests_refs,decision
tournament_entries,owner_identity_id,TournamentEntry,ownerIdentityId,111,0,7,8,0,0,KEEP_DEV_REVIEW
padel_player_profiles,birth_date,PadelPlayerProfile,birthDate,13,0,1,36,0,17,KEEP_DEV_REVIEW
padel_player_profiles,notes,PadelPlayerProfile,notes,114,6,2,36,0,17,KEEP_DEV_REVIEW
padel_pairing_slots,invited_contact,PadelPairingSlot,invitedContact,73,0,3,26,0,11,KEEP_DEV_REVIEW
padel_tournament_participants,seed_rank,PadelTournamentParticipant,seedRank,0,0,0,19,0,5,KEEP_DEV_REVIEW
operations,locked_at,Operation,lockedAt,26,0,6,27,0,9,KEEP_DEV_REVIEW
operations,next_retry_at,Operation,nextRetryAt,14,0,0,27,0,9,KEEP_DEV_REVIEW
operations,organization_id,Operation,organizationId,3826,32,354,27,0,9,KEEP_DEV_REVIEW
operations,pairing_id,Operation,pairingId,323,0,18,27,0,9,KEEP_DEV_REVIEW
operations,stripe_event_id,Operation,stripeEventId,74,3,8,27,0,9,KEEP_DEV_REVIEW
outbox_events,dead_lettered_at,OutboxEvent,deadLetteredAt,26,5,24,29,3,19,KEEP_DEV_REVIEW
outbox_events,error_class,OutboxEvent,errorClass,22,0,0,29,3,19,KEEP_DEV_REVIEW
outbox_events,error_stack,OutboxEvent,errorStack,25,0,0,29,3,19,KEEP_DEV_REVIEW
outbox_events,first_seen_at,OutboxEvent,firstSeenAt,32,0,0,29,3,19,KEEP_DEV_REVIEW
outbox_events,last_seen_at,OutboxEvent,lastSeenAt,50,3,0,29,3,19,KEEP_DEV_REVIEW
outbox_events,reason_code,OutboxEvent,reasonCode,231,1,41,29,3,19,KEEP_DEV_REVIEW
crm_contact_consents,expires_at,CrmContactConsent,expiresAt,320,36,29,12,0,0,KEEP_DEV_REVIEW
padel_pairings,captain_second_charged_at,PadelPairing,captainSecondChargedAt,3,0,0,109,0,25,KEEP_DEV_REVIEW
padel_pairings,grace_until_at,PadelPairing,graceUntilAt,43,0,1,109,0,25,KEEP_DEV_REVIEW
padel_pairings,invite_expires_at,PadelPairing,partnerLinkExpiresAt,36,0,1,109,0,25,KEEP_DEV_REVIEW
padel_pairings,locked_until,PadelPairing,lockedUntil,23,0,0,109,0,25,KEEP_DEV_REVIEW
padel_pairings,partner_invite_used_at,PadelPairing,partnerInviteUsedAt,13,0,0,109,0,25,KEEP_DEV_REVIEW
padel_pairings,partner_invited_at,PadelPairing,partnerInvitedAt,9,0,0,109,0,25,KEEP_DEV_REVIEW
padel_pairings,partner_link_token,PadelPairing,partnerLinkToken,21,0,0,109,0,25,KEEP_DEV_REVIEW
padel_pairings,partner_swap_allowed_until_at,PadelPairing,partnerSwapAllowedUntilAt,6,0,0,109,0,25,KEEP_DEV_REVIEW
padel_pairings,payment_method_id,PadelPairing,paymentMethodId,5,0,0,109,0,25,KEEP_DEV_REVIEW
padel_pairings,second_charge_payment_intent_id,PadelPairing,secondChargePaymentIntentId,7,0,0,109,0,25,KEEP_DEV_REVIEW
organization_group_members,role_pack,OrganizationGroupMember,rolePack,322,0,107,27,1,12,KEEP_DEV_REVIEW
bookings,confirmation_snapshot,Booking,confirmationSnapshot,29,0,6,92,2,18,KEEP_DEV_REVIEW
bookings,confirmation_snapshot_created_at,Booking,confirmationSnapshotCreatedAt,14,0,3,92,2,18,KEEP_DEV_REVIEW
bookings,confirmation_snapshot_version,Booking,confirmationSnapshotVersion,16,0,3,92,2,18,KEEP_DEV_REVIEW
bookings,guest_email,Booking,guestEmail,119,0,3,92,2,18,KEEP_DEV_REVIEW
bookings,guest_name,Booking,guestName,23,0,0,92,2,18,KEEP_DEV_REVIEW
bookings,guest_phone,Booking,guestPhone,8,0,0,92,2,18,KEEP_DEV_REVIEW
bookings,payment_intent_id,Booking,paymentIntentId,458,4,17,92,2,18,KEEP_DEV_REVIEW
bookings,pending_expires_at,Booking,pendingExpiresAt,84,1,9,92,2,18,KEEP_DEV_REVIEW
notification_outbox,last_error,NotificationOutbox,lastError,17,0,0,10,2,18,KEEP_DEV_REVIEW
notification_outbox,next_attempt_at,NotificationOutbox,nextAttemptAt,51,0,24,10,2,18,KEEP_DEV_REVIEW
notifications,expires_at,Notification,expiresAt,320,36,29,17,0,1,KEEP_DEV_REVIEW
sale_lines,padel_registration_line_id,SaleLine,padelRegistrationLineId,7,0,0,10,2,0,KEEP_DEV_REVIEW
sale_summaries,owner_identity_id,SaleSummary,ownerIdentityId,111,0,7,47,4,5,KEEP_DEV_REVIEW
availability_schedules,end_date,AvailabilitySchedule,endDate,86,0,8,19,0,18,KEEP_DEV_REVIEW
tickets,owner_identity_id,Ticket,ownerIdentityId,111,0,7,45,0,7,KEEP_DEV_REVIEW
tickets,rotating_seed,Ticket,rotatingSeed,0,0,0,45,0,7,KEEP_DEV_REVIEW
profiles,bio,Profile,bio,218,0,4,242,0,38,KEEP_DEV_REVIEW
profiles,deleted_at,Profile,deletedAt,174,2,5,242,0,38,KEEP_DEV_REVIEW
profiles,deleted_at_final,Profile,deletedAtFinal,0,0,0,242,0,38,KEEP_DEV_REVIEW
profiles,deletion_requested_at,Profile,deletionRequestedAt,2,0,0,242,0,38,KEEP_DEV_REVIEW
profiles,deletion_scheduled_for,Profile,deletionScheduledFor,2,0,0,242,0,38,KEEP_DEV_REVIEW
profiles,location_source,Profile,locationSource,11,0,5,242,0,38,KEEP_DEV_REVIEW
profiles,padel_club_name,Profile,padelClubName,24,0,4,242,0,38,KEEP_DEV_REVIEW
agenda_items,professional_id,AgendaItem,professionalId,357,3,23,9,0,0,KEEP_DEV_REVIEW
agenda_items,resource_id,AgendaItem,resourceId,286,3,14,9,0,0,KEEP_DEV_REVIEW
chat_conversation_members,access_revoked_at,ChatConversationMember,accessRevokedAt,21,1,0,36,5,0,KEEP_DEV_REVIEW
chat_conversation_members,banned_at,ChatConversationMember,bannedAt,18,1,0,36,5,0,KEEP_DEV_REVIEW
