table,column,ordinal_position,data_type,udt_name,is_nullable,column_default,is_pk,is_fk,is_unique,row_count,null_frac,n_distinct
activity_feed_items,id,1,uuid,uuid,NO,gen_random_uuid(),1,0,0,7,0,-1
activity_feed_items,organization_id,2,integer,int4,NO,,0,1,0,7,0,-0.125
activity_feed_items,event_id,3,uuid,uuid,NO,,0,1,0,7,0,-1
activity_feed_items,event_type,4,text,text,NO,,0,0,0,7,0,-1
activity_feed_items,actor_user_id,5,uuid,uuid,YES,,0,0,0,7,0,1
activity_feed_items,source_type,6,USER-DEFINED,SourceType,YES,,0,0,0,7,0,-0.125
activity_feed_items,source_id,7,text,text,YES,,0,0,0,7,0,-1
activity_feed_items,correlation_id,8,text,text,YES,,0,0,0,7,0,-1
activity_feed_items,created_at,9,timestamp with time zone,timestamptz,NO,,0,0,0,7,0,-1
activity_feed_items,env,10,text,text,NO,'prod'::text,0,0,0,7,0,1
address_lookups,env,1,text,text,NO,'prod'::text,0,0,0,4,,
address_lookups,id,2,integer,int4,NO,,1,0,0,4,,
address_lookups,address_id,3,uuid,uuid,NO,,0,0,0,4,,
address_lookups,source_provider,4,USER-DEFINED,AddressSourceProvider,NO,,0,0,0,4,,
address_lookups,source_provider_place_id,5,text,text,NO,,0,0,0,4,,
address_lookups,resolved_at,6,timestamp with time zone,timestamptz,NO,now(),0,0,0,4,,
addresses,env,1,text,text,NO,'prod'::text,0,0,0,35,0,1
addresses,id,2,uuid,uuid,NO,gen_random_uuid(),1,0,0,35,0,-1
addresses,formatted_address,3,text,text,NO,,0,0,0,35,0,-1
addresses,canonical,4,jsonb,jsonb,NO,,0,0,0,35,0,-1
addresses,lat,5,double precision,float8,NO,,0,0,0,35,0,-1
addresses,lng,6,double precision,float8,NO,,0,0,0,35,0,-1
addresses,source_provider,7,USER-DEFINED,AddressSourceProvider,NO,,0,0,0,35,0,1
addresses,source_provider_place_id,8,text,text,YES,,0,0,0,35,0,-1
addresses,confidence_score,9,integer,int4,NO,0,0,0,0,35,0,1
addresses,validation_status,10,USER-DEFINED,AddressValidationStatus,NO,"'NORMALIZED'::app_v3.""AddressValidationStatus""",0,0,0,35,0,1
addresses,address_hash,11,text,text,NO,,0,0,0,35,0,-1
addresses,created_at,12,timestamp with time zone,timestamptz,NO,now(),0,0,0,35,0,-1
addresses,updated_at,13,timestamp with time zone,timestamptz,NO,now(),0,0,0,35,0,-1
admin_mfa,env,1,text,text,NO,'prod'::text,0,0,0,0,,
admin_mfa,id,2,uuid,uuid,NO,gen_random_uuid(),1,0,0,0,,
admin_mfa,user_id,3,uuid,uuid,NO,,0,1,0,0,,
admin_mfa,secret_enc,4,text,text,NO,,0,0,0,0,,
admin_mfa,secret_iv,5,text,text,NO,,0,0,0,0,,
admin_mfa,secret_tag,6,text,text,NO,,0,0,0,0,,
admin_mfa,recovery_codes,7,jsonb,jsonb,YES,,0,0,0,0,,
admin_mfa,enabled_at,8,timestamp with time zone,timestamptz,YES,,0,0,0,0,,
admin_mfa,created_at,9,timestamp with time zone,timestamptz,NO,now(),0,0,0,0,,
admin_mfa,updated_at,10,timestamp with time zone,timestamptz,NO,now(),0,0,0,0,,
agenda_arbitration_compensation_attempts,env,1,text,text,NO,'prod'::text,0,0,0,0,,
agenda_arbitration_compensation_attempts,id,2,uuid,uuid,NO,gen_random_uuid(),1,0,0,0,,
agenda_arbitration_compensation_attempts,arbitration_decision_id,3,uuid,uuid,NO,,0,1,0,0,,
agenda_arbitration_compensation_attempts,attempt_no,4,integer,int4,NO,,0,0,0,0,,
agenda_arbitration_compensation_attempts,status,5,USER-DEFINED,AgendaArbitrationCompensationAttemptStatus,NO,,0,0,0,0,,
agenda_arbitration_compensation_attempts,error_code,6,text,text,YES,,0,0,0,0,,
agenda_arbitration_compensation_attempts,created_at,7,timestamp with time zone,timestamptz,NO,now(),0,0,0,0,,
agenda_arbitration_decisions,env,1,text,text,NO,'prod'::text,0,0,0,0,,
agenda_arbitration_decisions,id,2,uuid,uuid,NO,gen_random_uuid(),1,0,0,0,,
agenda_arbitration_decisions,resource_key,3,text,text,NO,,0,0,0,0,,
agenda_arbitration_decisions,authority_org_id,4,integer,int4,NO,,0,0,0,0,,
agenda_arbitration_decisions,priority_rule_version,5,text,text,NO,,0,0,0,0,,
agenda_arbitration_decisions,input_hash,6,text,text,NO,,0,0,0,0,,
agenda_arbitration_decisions,decision,7,text,text,NO,,0,0,0,0,,
agenda_arbitration_decisions,rule_applied,8,text,text,NO,,0,0,0,0,,
agenda_arbitration_decisions,winner_claim_id,9,uuid,uuid,YES,,0,0,0,0,,
agenda_arbitration_decisions,blocked_claim_id,10,uuid,uuid,YES,,0,0,0,0,,
agenda_arbitration_decisions,reason_code,11,text,text,YES,,0,0,0,0,,
agenda_arbitration_decisions,actor_user_id,12,uuid,uuid,YES,,0,0,0,0,,
agenda_arbitration_decisions,actor_organization_id,13,integer,int4,YES,,0,0,0,0,,
agenda_arbitration_decisions,bundle_id,14,uuid,uuid,YES,,0,0,0,0,,
agenda_arbitration_decisions,compensation_status,15,USER-DEFINED,AgendaArbitrationCompensationStatus,YES,,0,0,0,0,,
agenda_arbitration_decisions,correlation_id,16,text,text,YES,,0,0,0,0,,
agenda_arbitration_decisions,metadata,17,jsonb,jsonb,NO,'{}'::jsonb,0,0,0,0,,
agenda_arbitration_decisions,created_at,18,timestamp with time zone,timestamptz,NO,now(),0,0,0,0,,
agenda_arbitration_decisions,updated_at,19,timestamp with time zone,timestamptz,NO,now(),0,0,0,0,,
agenda_items,id,1,uuid,uuid,NO,gen_random_uuid(),1,0,0,119,0,-1
agenda_items,organization_id,2,integer,int4,NO,,0,1,0,119,0,1
agenda_items,source_type,3,USER-DEFINED,SourceType,NO,,0,0,0,119,0,1
agenda_items,source_id,4,text,text,NO,,0,0,0,119,0,-1
agenda_items,title,5,text,text,NO,,0,0,0,119,0,3
agenda_items,starts_at,6,timestamp with time zone,timestamptz,NO,,0,0,0,119,0,-0.678571
agenda_items,ends_at,7,timestamp with time zone,timestamptz,NO,,0,0,0,119,0,-0.669643
agenda_items,status,8,text,text,NO,,0,0,0,119,0,2
agenda_items,last_event_id,9,uuid,uuid,NO,,0,0,0,119,0,-1
agenda_items,updated_at,10,timestamp with time zone,timestamptz,NO,now(),0,0,0,119,0,-1
agenda_items,env,11,text,text,NO,'prod'::text,0,0,0,119,0,1
agenda_items,padel_club_id,12,integer,int4,YES,,0,1,0,119,0.982143,1
agenda_items,court_id,13,integer,int4,YES,,0,1,0,119,0.982143,-0.0178571
agenda_items,resource_id,14,integer,int4,YES,,0,0,0,119,1,0
agenda_items,professional_id,15,integer,int4,YES,,0,0,0,119,1,0
agenda_resource_claims,id,1,uuid,uuid,NO,gen_random_uuid(),1,0,0,0,,
agenda_resource_claims,env,2,text,text,NO,'prod'::text,0,0,0,0,,
agenda_resource_claims,organization_id,3,integer,int4,NO,,0,1,0,0,,
agenda_resource_claims,event_id,4,integer,int4,YES,,0,1,0,0,,
agenda_resource_claims,source_type,5,USER-DEFINED,SourceType,NO,,0,0,0,0,,
agenda_resource_claims,source_id,6,text,text,NO,,0,0,0,0,,
agenda_resource_claims,resource_type,7,USER-DEFINED,AgendaResourceClaimType,NO,,0,0,0,0,,
agenda_resource_claims,resource_id,8,text,text,NO,,0,0,0,0,,
agenda_resource_claims,starts_at,9,timestamp with time zone,timestamptz,NO,,0,0,0,0,,
agenda_resource_claims,ends_at,10,timestamp with time zone,timestamptz,NO,,0,0,0,0,,
agenda_resource_claims,status,11,USER-DEFINED,AgendaResourceClaimStatus,NO,"'CLAIMED'::app_v3.""AgendaResourceClaimStatus""",0,0,0,0,,
agenda_resource_claims,metadata,12,jsonb,jsonb,YES,'{}'::jsonb,0,0,0,0,,
agenda_resource_claims,created_at,13,timestamp with time zone,timestamptz,NO,now(),0,0,0,0,,
agenda_resource_claims,updated_at,14,timestamp with time zone,timestamptz,NO,now(),0,0,0,0,,
agenda_resource_claims,bundle_id,15,uuid,uuid,YES,,0,0,0,0,,
agenda_resource_claims,authority_org_id,16,integer,int4,NO,,0,0,0,0,,
agenda_resource_claims,resource_key,17,text,text,NO,,0,0,0,0,,
analytics_rollups,id,1,integer,int4,NO,,1,0,0,756,0,-1
analytics_rollups,organization_id,2,integer,int4,NO,,0,1,0,756,0,2
analytics_rollups,bucket_date,3,date,date,NO,,0,0,0,756,0,45
analytics_rollups,metric_key,4,USER-DEFINED,AnalyticsMetricKey,NO,,0,0,0,756,0,4
analytics_rollups,dimension_key,5,USER-DEFINED,AnalyticsDimensionKey,NO,,0,0,0,756,0,4
analytics_rollups,dimension_value,6,text,text,NO,,0,0,0,756,0,8
analytics_rollups,value,7,integer,int4,NO,,0,0,0,756,0,-0.164021
analytics_rollups,created_at,8,timestamp with time zone,timestamptz,NO,now(),0,0,0,756,0,-1
analytics_rollups,updated_at,9,timestamp with time zone,timestamptz,NO,now(),0,0,0,756,0,-1
analytics_rollups,env,10,text,text,NO,'prod'::text,0,0,0,756,0,1
availability_change_conflicts,id,1,integer,int4,NO,nextval('app_v3.availability_change_conflicts_id_seq'::regclass),1,0,0,0,,
availability_change_conflicts,env,2,text,text,NO,'prod'::text,0,0,0,0,,
availability_change_conflicts,change_set_id,3,integer,int4,NO,,0,1,0,0,,
availability_change_conflicts,organization_id,4,integer,int4,NO,,0,1,0,0,,
availability_change_conflicts,status,5,USER-DEFINED,AvailabilityConflictStatus,NO,"'OPEN'::app_v3.""AvailabilityConflictStatus""",0,0,0,0,,
availability_change_conflicts,entity_type,6,USER-DEFINED,AvailabilityConflictEntityType,NO,,0,0,0,0,,
availability_change_conflicts,entity_id,7,integer,int4,NO,,0,0,0,0,,
availability_change_conflicts,scope_type,8,USER-DEFINED,AvailabilityScopeType,NO,"'ORGANIZATION'::app_v3.""AvailabilityScopeType""",0,0,0,0,,
availability_change_conflicts,scope_id,9,integer,int4,NO,0,0,0,0,0,,
availability_change_conflicts,starts_at,10,timestamp with time zone,timestamptz,NO,,0,0,0,0,,
availability_change_conflicts,ends_at,11,timestamp with time zone,timestamptz,NO,,0,0,0,0,,
availability_change_conflicts,reason_code,12,text,text,YES,,0,0,0,0,,
availability_change_conflicts,resolution_action,13,USER-DEFINED,AvailabilityConflictResolutionAction,YES,,0,0,0,0,,
availability_change_conflicts,resolved_at,14,timestamp with time zone,timestamptz,YES,,0,0,0,0,,
availability_change_conflicts,details,15,jsonb,jsonb,YES,,0,0,0,0,,
availability_change_conflicts,created_at,16,timestamp with time zone,timestamptz,NO,now(),0,0,0,0,,
availability_change_conflicts,updated_at,17,timestamp with time zone,timestamptz,NO,now(),0,0,0,0,,
availability_change_sets,id,1,integer,int4,NO,nextval('app_v3.availability_change_sets_id_seq'::regclass),1,0,0,0,,
availability_change_sets,env,2,text,text,NO,'prod'::text,0,0,0,0,,
availability_change_sets,organization_id,3,integer,int4,NO,,0,1,0,0,,
availability_change_sets,scope_type,4,USER-DEFINED,AvailabilityScopeType,NO,"'ORGANIZATION'::app_v3.""AvailabilityScopeType""",0,0,0,0,,
availability_change_sets,scope_id,5,integer,int4,NO,0,0,0,0,0,,
availability_change_sets,schedule_id,6,integer,int4,YES,,0,1,0,0,,
availability_change_sets,status,7,USER-DEFINED,AvailabilityChangeSetStatus,NO,"'PENDING'::app_v3.""AvailabilityChangeSetStatus""",0,0,0,0,,
availability_change_sets,requested_by_user_id,8,uuid,uuid,YES,,0,1,0,0,,
availability_change_sets,draft_payload,9,jsonb,jsonb,NO,,0,0,0,0,,
availability_change_sets,preflight_summary,10,jsonb,jsonb,YES,,0,0,0,0,,
availability_change_sets,applied_at,11,timestamp with time zone,timestamptz,YES,,0,0,0,0,,
availability_change_sets,cancelled_at,12,timestamp with time zone,timestamptz,YES,,0,0,0,0,,
availability_change_sets,created_at,13,timestamp with time zone,timestamptz,NO,now(),0,0,0,0,,
availability_change_sets,updated_at,14,timestamp with time zone,timestamptz,NO,now(),0,0,0,0,,
availability_overrides,id,1,integer,int4,NO,nextval('app_v3.availability_overrides_id_seq'::regclass),1,0,0,31,0,-1
availability_overrides,organization_id,2,integer,int4,NO,,0,1,1,31,0,1
availability_overrides,date,3,date,date,NO,,0,0,1,31,0,-0.580645
availability_overrides,kind,4,USER-DEFINED,AvailabilityOverrideKind,NO,,0,0,0,31,0,2
availability_overrides,intervals,5,jsonb,jsonb,YES,'[]'::jsonb,0,0,0,31,0,3
availability_overrides,created_at,6,timestamp with time zone,timestamptz,NO,now(),0,0,0,31,0,1
availability_overrides,updated_at,7,timestamp with time zone,timestamptz,NO,now(),0,0,0,31,0,1
availability_overrides,scope_type,8,USER-DEFINED,AvailabilityScopeType,NO,"'ORGANIZATION'::app_v3.""AvailabilityScopeType""",0,0,1,31,0,2
availability_overrides,scope_id,9,integer,int4,NO,0,0,0,1,31,0,-0.580645
availability_overrides,env,10,text,text,NO,'prod'::text,0,0,0,31,0,1
availability_schedules,id,1,integer,int4,NO,nextval('app_v3.availability_schedules_id_seq'::regclass),1,0,0,137,0,-1
availability_schedules,env,2,text,text,NO,'prod'::text,0,0,0,137,0,1
availability_schedules,organization_id,3,integer,int4,NO,,0,1,0,137,0,7
availability_schedules,scope_type,4,USER-DEFINED,AvailabilityScopeType,NO,"'ORGANIZATION'::app_v3.""AvailabilityScopeType""",0,0,0,137,0,3
availability_schedules,scope_id,5,integer,int4,NO,0,0,0,0,137,0,-0.934307
availability_schedules,start_date,6,date,date,NO,,0,0,0,137,0,2
availability_schedules,end_date,7,date,date,YES,,0,0,0,137,1,0
availability_schedules,created_at,8,timestamp with time zone,timestamptz,NO,now(),0,0,0,137,0,-0.927007
availability_schedules,updated_at,9,timestamp with time zone,timestamptz,NO,now(),0,0,0,137,0,-0.927007
booking_addons,env,1,text,text,NO,'prod'::text,0,0,0,0,,
booking_addons,id,2,integer,int4,NO,,1,0,0,0,,
booking_addons,booking_id,3,integer,int4,NO,,0,1,0,0,,
booking_addons,addon_id,4,integer,int4,YES,,0,1,0,0,,
booking_addons,label,5,text,text,NO,,0,0,0,0,,
booking_addons,delta_minutes,6,integer,int4,NO,0,0,0,0,0,,
