table,model,modeled,columns,exact_rows,n_live_tup,seq_scan,idx_scan,scans,writes,total_bytes,runtime_refs,scripts_refs,tests_refs,runtime_delegate_refs,runtime_raw_sql_refs,runtime_supabase_refs,class_runtime
activity_feed_items,ActivityFeedItem,yes,10,7,7,21438,748128,769566,81,98304,4,0,2,4,0,0,runtime_referenced_with_data
address_lookups,AddressLookup,yes,6,4,4,47,12,59,8,98304,3,3,0,3,0,0,runtime_referenced_with_data
addresses,Address,yes,13,35,35,12715,4583,17298,99,147456,16,3,8,16,0,0,runtime_referenced_with_data
admin_mfa,AdminMfa,yes,10,0,0,84,64,148,7,32768,9,0,0,9,0,0,runtime_referenced_empty
agenda_arbitration_compensation_attempts,AgendaArbitrationCompensationAttempt,yes,7,0,0,25,1,26,0,40960,2,0,0,0,2,0,runtime_referenced_empty
agenda_arbitration_decisions,AgendaArbitrationDecision,yes,19,0,0,868,0,868,0,49152,7,0,0,1,6,0,runtime_referenced_empty
agenda_items,AgendaItem,yes,15,119,119,676,487,1163,349,196608,9,0,0,9,0,0,runtime_referenced_with_data
agenda_resource_claims,AgendaResourceClaim,yes,17,0,0,73,994,1067,0,98304,16,0,1,12,4,0,runtime_referenced_empty
analytics_rollups,AnalyticsRollup,yes,10,756,756,354,4577,4931,3802,237568,9,0,3,8,1,0,runtime_referenced_with_data
availability_change_conflicts,AvailabilityChangeConflict,yes,17,0,0,4,0,4,0,40960,11,0,2,11,0,0,runtime_referenced_empty
availability_change_sets,AvailabilityChangeSet,yes,14,0,0,76,8,84,0,40960,12,0,11,12,0,0,runtime_referenced_empty
availability_overrides,AvailabilityOverride,yes,10,31,31,274,790,1064,590,131072,15,0,11,15,0,0,runtime_referenced_with_data
availability_schedules,AvailabilitySchedule,yes,9,137,137,1495,839,2334,461,122880,19,0,18,19,0,0,runtime_referenced_with_data
booking_addons,BookingAddon,yes,10,0,0,39,2686,2725,0,49152,1,0,1,1,0,0,runtime_referenced_empty
booking_change_requests,BookingChangeRequest,yes,18,0,0,1014,2898,3912,0,40960,11,0,0,11,0,0,runtime_referenced_empty
booking_charges,BookingCharge,yes,17,45,45,2206,472,2678,1403,131072,7,0,0,7,0,0,runtime_referenced_with_data
booking_invites,BookingInvite,yes,13,0,0,115,2832,2947,0,65536,16,0,0,16,0,0,runtime_referenced_empty
booking_packages,BookingPackage,yes,8,0,0,44,2688,2732,0,57344,1,0,1,1,0,0,runtime_referenced_empty
booking_participants,BookingParticipant,yes,10,194,196,426,2516,2942,4890,180224,4,0,0,4,0,0,runtime_referenced_with_data
booking_policy_refs,BookingPolicyRef,yes,5,2,2,98,2735,2833,7,81920,3,0,0,3,0,0,runtime_referenced_with_data
booking_split_debts,BookingSplitDebt,yes,10,0,0,34,2617,2651,0,49152,3,0,0,3,0,0,runtime_referenced_empty
