table_a,table_b,jaccard,shared_cols,cols_a,cols_b,est_rows_a,est_rows_b
organization_member_invites,padel_team_member_invites,0.875,14,15,15,2,0
crm_contact_consents,user_consents,0.8462,11,12,12,363,14
organization_group_owner_transfers,organization_owner_transfers,0.8333,10,11,11,0,0
organization_member_invites,padel_club_staff_invites,0.8235,14,15,16,2,0
padel_club_staff_invites,padel_team_member_invites,0.8235,14,16,15,0,0
notification_mutes,padel_tournament_roles,0.75,6,6,8,0,2
organization_official_email_requests,organization_owner_transfers,0.6923,9,11,11,0,0
service_duration_prices,service_packages,0.6667,8,8,12,26,12
crm_contact_notes,padel_community_comments,0.6667,6,8,7,59,0
event_favorites,padel_tournament_roles,0.6667,6,7,8,1,2
notification_mutes,user_event_signals,0.6667,6,6,9,0,0
tournament_groups,tournament_stages,0.6667,6,7,8,40,20
follows,organization_follows,0.6667,4,5,5,10100,1023
service_professionals,service_resources,0.6667,4,5,5,53,78
